id;name;country;type;caliber_mm;barrel_length;mounting;rate_of_fire_rpm;muzzle_velocity_mps;typical_ammunition;characteristics;source_url
soviet-dt;Degtyaryov tank machine gun DT;USSR;machine gun;7.62;;coaxial, hull;550-600;840;7.62x54 mmR;Tank version of the DP light machine gun with pan magazine.;https://en.wikipedia.org/wiki/Degtyaryov_machine_gun
soviet-dshk;DShK 1938;USSR;heavy machine gun;12.7;;anti-aircraft pintle;600;850;12.7x108 mm;Heavy machine gun used on late Soviet tanks for anti-aircraft and close defense.;https://en.wikipedia.org/wiki/DShK
us-75mm-m3;75 mm Gun M3;USA;tank gun;75;L/40;turret;15-20;619;AP M61, HE M48, smoke;Sherman dual-purpose gun with high practical rate of fire and effective HE shell.;https://en.wikipedia.org/wiki/75_mm_gun_M2%E2%80%93M6
us-76mm-m1a1;76 mm Gun M1 series;USA;tank gun;76.2;L/52;turret;12-20;792;AP M62, HVAP M93, HE M42A1;Higher velocity Sherman gun for improved anti-armor performance over the 75 mm M3.;https://en.wikipedia.org/wiki/76_mm_gun_M1
us-90mm-m3;90 mm Gun M3;USA;tank gun;90;L/53;turret;6-8;853;AP M77, APC M82, HVAP T30E16, HE M71;Pershing main gun, related to the US 90 mm anti-aircraft gun family.;https://en.wikipedia.org/wiki/90_mm_gun_M1/M2/M3
us-m1919a4;Browning M1919A4;USA;machine gun;7.62;;coaxial, bow;400-600;854;.30-06 Springfield;Belt-fed medium machine gun used widely in US armored vehicles.;https://en.wikipedia.org/wiki/M1919_Browning_machine_gun
us-m2hb;Browning M2HB;USA;heavy machine gun;12.7;;anti-aircraft pintle;450-600;890;.50 BMG;Heavy machine gun commonly mounted on US tank turrets for air defense and ground targets.;https://en.wikipedia.org/wiki/M2_Browning
uk-qf-75mm;Ordnance QF 75 mm;United Kingdom;tank gun;75;L/36.5;turret;12-15;620;AP, HE, smoke;British 75 mm tank gun firing US-style 75 mm ammunition for better HE performance than 6-pounder.;https://en.wikipedia.org/wiki/Ordnance_QF_75_mm
uk-qf-17pdr;Ordnance QF 17-pounder;United Kingdom;anti-tank tank gun;76.2;L/55;turret or towed;6-10;884-1204;APCBC, APDS, HE;Powerful British anti-tank gun fitted to Sherman Firefly and other late-war vehicles.;https://en.wikipedia.org/wiki/Ordnance_QF_17-pounder
uk-besa-792;Besa machine gun;United Kingdom;machine gun;7.92;;coaxial, hull;450-800;820;7.92x57 mm Mauser;Czech-derived British tank machine gun used on many cruiser and infantry tanks.;https://en.wikipedia.org/wiki/Besa_machine_gun
german-mg-13;MG 13;Germany;machine gun;7.92;;turret;600;890;7.92x57 mm Mauser;Early German light machine gun used as Panzer I turret armament.;https://en.wikipedia.org/wiki/MG_13
german-mg-34-42;MG 34 / MG 42;Germany;machine gun;7.92;;coaxial, hull, turret, pintle;800-1200;755;7.92x57 mm Mauser;Project roster alias for German general-purpose machine guns used on armored vehicles.;https://en.wikipedia.org/wiki/MG_34
german-kwk-30-l55;2 cm KwK 30 L/55;Germany;autocannon;20;L/55;turret;120-280;780;20x138 mmB AP, HE;Automatic cannon fitted to Panzer II and Sd.Kfz. 222.;https://en.wikipedia.org/wiki/2_cm_KwK_30
german-kwk-38t;3.7 cm KwK 38(t);Germany;tank gun;37;L/47.8;turret;12-15;750;AP, HE;Czech 37 mm tank gun used on Panzer 38(t).;https://en.wikipedia.org/wiki/Panzer_38(t)
german-mg-37t;MG 37(t);Germany;machine gun;7.92;;coaxial, hull;500-700;744;7.92x57 mm Mauser;Czech ZB-53 derived tank machine gun used in Panzer 38(t).;https://en.wikipedia.org/wiki/ZB-53
german-kwk-37-l24;7.5 cm KwK 37 L/24;Germany;tank gun;75;L/24;turret or casemate;10-15;385-450;HE Sprgr.34, HEAT Gr.38 Hl, smoke;Short 75 mm support gun used in early Panzer IV and StuG III variants.;https://en.wikipedia.org/wiki/7.5_cm_KwK_37
german-kwk-39;5 cm KwK 39 L/60;Germany;tank gun;50;L/60;turret;10-15;835-1180;APCBC PzGr.39, APCR PzGr.40, HE;Long 50 mm Panzer III gun with improved anti-armor performance.;https://en.wikipedia.org/wiki/5_cm_KwK_39
german-kwk-40-l48;7.5 cm KwK 40 L/48;Germany;tank or assault gun;75;L/48;turret or casemate;6-8;750-790;APCBC PzGr.39, APCR PzGr.40, HE Sprgr.34;Long 75 mm gun used by late Panzer IV, StuG and Jagdpanzer IV vehicles.;https://en.wikipedia.org/wiki/7.5_cm_KwK_40
german-8,8-cm-kwk-43;8.8 cm KwK 43 L/71;Germany;tank gun;88;L/71;turret;6-10;1000-1130;APCBC PzGr.39/43, APCR PzGr.40/43, HE Sprgr.43;units.json alias for the Tiger II 88 mm KwK 43.;https://en.wikipedia.org/wiki/8.8_cm_KwK_43
german-pak-40-l46;7.5 cm PaK 40 L/46;Germany;anti-tank gun;75;L/46;towed or open casemate;6-8;790;APCBC PzGr.39, APCR PzGr.40, HE Sprgr.34;Standard German 75 mm anti-tank gun used on Marder conversions.;https://en.wikipedia.org/wiki/7.5_cm_Pak_40
german-lefh-18-2;10.5 cm leFH 18/2;Germany;self-propelled howitzer;105;L/28;open casemate;4-6;470;HE, smoke;Wespe-mounted version of the 10.5 cm leFH 18 howitzer.;https://en.wikipedia.org/wiki/Wespe
german-sfh-18;15 cm sFH 18;Germany;heavy howitzer;149.1;L/30;open casemate;4;520;HE, smoke, concrete-piercing;Heavy field howitzer mounted in Hummel self-propelled artillery.;https://en.wikipedia.org/wiki/15_cm_sFH_18
german-sig-33;15 cm sIG 33;Germany;infantry gun;149.1;L/11.4;open casemate;2-3;240;HE, smoke;Heavy infantry gun mounted in Grille self-propelled artillery.;https://en.wikipedia.org/wiki/15_cm_sIG_33
german-rw-61;38 cm Raketen-Werfer 61;Germany;rocket mortar;380;L/5.4;casemate;1;250;rocket-assisted HE, shaped-charge demolition round;Sturmtiger breech-loaded rocket mortar for assault engineering targets.;https://en.wikipedia.org/wiki/Sturmtiger
su-d-5t;85 mm D-5T;USSR;tank gun;85;L/51.6;turret;3-5;792;AP BR-365, HE O-365;units.json id for the IS-1 85 mm tank gun.;https://en.wikipedia.org/wiki/85_mm_gun_D-5
su-d-25t;122 mm D-25T;USSR;tank gun;122;L/43;turret;2-3;780;AP BR-471, HE OF-471;units.json id for the IS-2 122 mm tank gun.;https://en.wikipedia.org/wiki/122_mm_gun_M1931/37_(A-19)
