id;name;model_family;country;type;technical_spec;units_built;production_start;production_end;armor_front_mm;armor_front_notes;armor_side_mm;armor_side_notes;armor_rear_mm;armor_rear_notes;armor_exposed_mm;armor_exposed_notes;road_speed_kmh;offroad_speed_kmh;sustained_march_speed_kmh;main_gun_rate_rpm;weapons_equipped;notes;source_url
german-nashorn;Nashorn;Nashorn or Hornisse;Germany;tank-destroyer;crew 5, combat weight about 24 t, Panzer III/IV chassis, open fighting compartment;494;1944-01;1945-03;30;profile from units.json, lightly armored open tank destroyer;15;profile from units.json;10;profile from units.json;5;profile from units.json, open top;42;15;30;6-10;1xgerman-kwk-43-l71(hull);Nashorn is the renamed Hornisse, production total shared with Hornisse.;https://en.wikipedia.org/wiki/Nashorn
german-jagdpanzer-iv;Jagdpanzer IV;Jagdpanzer IV;Germany;tank-destroyer;crew 4, combat weight about 24 t, Panzer IV chassis casemate tank destroyer;769;1944-01;1944-11;60;profile from units.json, sloped casemate front;30;profile from units.json;20;profile from units.json;10;profile from units.json, roof and deck vulnerable;40;16;30;6-8;1xgerman-kwk-40-l48(hull);Represents the L/48 armed Jagdpanzer IV profile in units.json.;https://en.wikipedia.org/wiki/Jagdpanzer_IV
german-jagdpanther;Jagdpanther;Jagdpanther;Germany;tank-destroyer;crew 5, combat weight about 45.5 t, Panther chassis casemate tank destroyer;415;1944-01;1945-04;80;profile from units.json, sloped glacis and casemate front;50;profile from units.json;40;profile from units.json;15;profile from units.json, roof and deck vulnerable;46;17;32;6-10;1xgerman-kwk-43-l71(hull);Heavy tank destroyer combining Panther chassis and 88 mm L/71 gun.;https://en.wikipedia.org/wiki/Jagdpanther
german-wespe;Wespe;Wespe;Germany;self-propelled-artillery;crew 5, combat weight about 11 t, Panzer II chassis, open fighting compartment;676;1943-02;1944-07;18;profile from units.json, thin gun shield and hull armor;8;profile from units.json;8;profile from units.json;5;profile from units.json, open top;40;12;24;4-6;1xgerman-lefh-18-2(hull);units.json has no weapons entry for this row, historical 10.5 cm leFH 18/2 added here.;https://en.wikipedia.org/wiki/Wespe
german-hummel;Hummel;Hummel;Germany;self-propelled-artillery;crew 6, combat weight about 24 t, Geschuetzwagen III/IV chassis, open fighting compartment;714;1943-02;1945-03;30;profile from units.json, thin superstructure armor;20;profile from units.json;15;profile from units.json;5;profile from units.json, open top;40;12;24;4;1xgerman-sfh-18(hull);Self-propelled 15 cm howitzer based on hybrid Panzer III/IV chassis.;https://en.wikipedia.org/wiki/Hummel_(vehicle)
german-grille;Sturmpanzer 38(t) Grille;Grille;Germany;self-propelled-artillery;crew 4, combat weight about 11.5 t, Panzer 38(t) chassis, open fighting compartment;490;1943-02;1944-09;25;profile from units.json, thin frontal protection;15;profile from units.json;10;profile from units.json;5;profile from units.json, open top;40;12;24;2-3;1xgerman-sig-33(hull);Self-propelled 15 cm infantry gun on 38(t) chassis.;https://en.wikipedia.org/wiki/Grille_(artillery)
german-marder-i;Marder I;Marder;Germany;tank-destroyer;crew 4-5, combat weight varied by captured French chassis, open fighting compartment;170;1942;1942;12;profile from units.json, very light frontal protection;10;profile from units.json;8;profile from units.json;5;profile from units.json, open top;40;14;30;6-8;1xgerman-pak-40-l46(hull);Tank destroyer conversion on captured French chassis.;https://en.wikipedia.org/wiki/Marder_I
german-marder-ii;Marder II;Marder;Germany;tank-destroyer;crew 3-4, combat weight about 10.8 t, Panzer II chassis, open fighting compartment;651;1942;1944;30;profile from units.json, frontal gun shield and hull protection;15;profile from units.json;10;profile from units.json;5;profile from units.json, open top;40;14;30;6-8;1xgerman-pak-40-l46(hull);Tank destroyer conversion on Panzer II chassis.;https://en.wikipedia.org/wiki/Marder_II
german-marder-iii;Marder III;Marder;Germany;tank-destroyer;crew 4, combat weight about 10.7-11 t, Panzer 38(t) chassis, open fighting compartment;942;1942;1944;50;profile from units.json, strongest Marder frontal profile in roster;15;profile from units.json;10;profile from units.json;5;profile from units.json, open top;40;14;30;6-8;1xgerman-pak-40-l46(hull);Tank destroyer conversion on Panzer 38(t) chassis.;https://en.wikipedia.org/wiki/Marder_III
german-sturmtiger;Sturmtiger;Sturmtiger;Germany;assault-gun;crew 5, combat weight about 65 t, Tiger I chassis, heavy rocket mortar casemate;18;1944-08;1945-01;150;profile from units.json, very heavy casemate front;80;profile from units.json;80;profile from units.json;25;profile from units.json, roof and deck vulnerable;40;8;18;1;1xgerman-rw-61(hull);Extremely limited production assault vehicle armed with 38 cm rocket mortar.;https://en.wikipedia.org/wiki/Sturmtiger
soviet-t-34-76;T-34/76;T-34;USSR;tank;crew 4, combat weight about 26.5-30.9 t, V-2 diesel engine;35312;1940;1944;45;profile from units.json, sloped glacis and 76 mm turret variants;45;profile from units.json;40;profile from units.json;10;profile from units.json, roof and deck vulnerable;55;24;40;5-8;1xsoviet-f-34(turret)|1xsoviet-dt(coaxial)|1xsoviet-dt(hull);units.json has no weapons entry for this row, historical late 76 mm armament added here.;https://en.wikipedia.org/wiki/T-34
soviet-t-34-85;T-34/85;T-34-85;USSR;tank;crew 5, combat weight about 32 t, V-2-34 diesel engine, three-man turret;22559;1944-01;1945-12;60;profile from units.json, game value blends hull and stronger turret front;45;profile from units.json;40;profile from units.json;12;profile from units.json, roof and deck vulnerable;55;24;40;3-5;1xsoviet-zis-s-53(turret)|1xsoviet-dt(coaxial)|1xsoviet-dt(hull);units.json has no weapons entry for this row, historical 85 mm armament added here.;https://tanks-encyclopedia.com/ww2/soviet/soviet_t34-85/
soviet-is-1;IS-1;IS;USSR;tank;crew 4, combat weight about 44 t, V-2-IS diesel engine;107;1943-10;1944-01;120;profile from units.json, heavy frontal armor;90;profile from units.json;60;profile from units.json;15;profile from units.json, roof and deck vulnerable;37;14;25;3-5;1xsu-d-5t(turret);Short-lived 85 mm armed IS heavy tank.;https://en.wikipedia.org/wiki/IS_tank_family
soviet-is-2;IS-2;IS-2;USSR;tank;crew 4, combat weight about 46 t, V-2-IS diesel engine;3395;1943-12;1945-06;120;profile from units.json, upper glacis about 120 mm and heavy turret front;90;profile from units.json;60;profile from units.json;15;profile from units.json, roof and deck vulnerable;37;14;25;2-3;1xsu-d-25t(turret);Heavy breakthrough tank with separate-loading 122 mm ammunition.;https://en.wikipedia.org/wiki/IS-2
